Title,Author_Id,Year,Citation_Count
Approximate Projection-Based Control of Networks,1485,2020,0
Outlier Analysis of Airport Delay Distributions in US and China,1485,2020,1
Identification of Outliers in Graph Signals*,1485,2019,1
Simulation-based Benefits and Costs Assessment of NASA&#39;s Airspace Technology Demonstration-2,1485,2018,1
Evaluating the Impact of Uncertainty on Airport Surface Operations,1485,2018,5
Enhancing Aircraft Fuel Burn Modeling on the Airport Surface,1485,2018,0
Finite-time behavior of switching networks,1485,2017,1
Privacy and stability in airport ground delay programs,1485,2017,0
Control of a non-stationary tandem queue model of the airport surface,1485,2017,4
"Benefits assessment of integrating arrival, departure, and surface operations with ATD-2",1485,2017,1
A Gaussian process regression approach to model aircraft engine fuel flow rate,1485,2017,6
Stability of networked systems with switching topologies,1485,2016,3
Multi-Scale Data Mining for Air Transportation System Diagnostics,1485,2016,0
Trajectory Clustering and Classification for Characterization of Air Traffic Flows,1485,2016,6
Clusters and communities in air traffic delay networks,1485,2016,5
Optimal control of airport pushbacks in the presence of uncertainties,1485,2016,5
Small Satellite Constellations for Data Driven Atmospheric Remote Sensing,1485,2015,0
Design and simulation of airport congestion control algorithms,1485,2014,4
Increasing efficiency though flexibility in airport resource allocation,1485,2014,2
Assessing the impacts of the JFK ground management program,1485,2013,2
Assessing the impacts of the JFK Ground Management Program,1485,2013,5
Optimal control of airport operations with gate capacity constraints,1485,2013,2
Aircraft Engine Performance Study Using Flight Data Recorder Archives,1485,2013,7
Optimized Coordinated Planning of Asynchronous Air and Space Assets in the Presence of Uncertainty,1485,2013,0
A comparison of two optimization approaches for airport taxiway and runway scheduling,1485,2012,0
Fast-time simulations of detroit airport operations for evaluating performance in the presence of uncertainties,1485,2012,0
Fast-time simulations of Detroit Airport operations for evaluating performance in the presence of uncertainties,1485,2012,1
A comparison of two optimization approaches for airport taxiway and runway scheduling,1485,2012,1
Control of Aircraft Pushbacks at an Airport using a Dynamic Programming Formulation,1485,2012,4
A network congestion control approach to airport departure management,1485,2012,2
Dynamic control of airport departures: Algorithm development and field evaluation,1485,2012,7
UFlood: High-throughput flooding over wireless mesh networks,1485,2012,9
