Id,Name,PersonId,LastName,FirstName,Department,RankName,TotalArticleCount,TotalConfProcCount,TotalGrantCount,TotalGrantDollars,TotalAwardCount,TotalCitationCount,TotalBookCount
1485,"BALAKRISHNAN, HAMSA",6622,,,Aeronautics and Astronautics,Professor,46,63,15,0.0,4,1477,1
2190,"BELOBABA, PETER P",287096,,,Aeronautics and Astronautics,Other,24,2,0,0.0,1,303,20
2695,"BINZEL, RICHARD P",10148,,,Aeronautics and Astronautics,Professor,163,13,23,0.0,3,5523,5
3740,"CRAWLEY, EDWARD F",22177,,,Aeronautics and Astronautics,Professor,47,67,30,0.0,7,427,8
3945,"DARMOFAL, DAVID L",138846,,,Aeronautics and Astronautics,Professor,33,52,12,0.0,1,1359,1
3910,"DE WECK, OLIVIER L",25387,,,Aeronautics and Astronautics,Professor,105,155,26,0.0,4,3324,6
4370,"GREITZER, EDWARD M",41860,,,Aeronautics and Astronautics,Professor,15,14,32,0.0,12,634,4
4385,"HAIMES, ROBERT",287897,,,Aeronautics and Astronautics,Other,15,43,33,0.0,0,492,0
2020,"HANSMAN, ROBERT J",79405,,,Aeronautics and Astronautics,Professor,24,71,60,0.0,4,574,0
5390,"HASTINGS, DANIEL E",45995,,,Aeronautics and Astronautics,Professor,35,34,34,0.0,5,1026,1
2660,"HOFFMAN, JEFFREY A",56423,,,Aeronautics and Astronautics,Other,52,67,32,0.0,2,2984,0
2910,"HOW, JONATHAN P",48280,,,Aeronautics and Astronautics,Professor,160,268,58,0.0,5,7482,17
5860,"LEVESON, NANCY G",67304,,,Aeronautics and Astronautics,Professor,49,13,31,0.0,7,2494,16
9895,"LIEBECK, ROBERT H",488062,,,Aeronautics and Astronautics,Other,1,1,0,0.0,7,332,1
4375,"LOZANO, PAULO C",70895,,,Aeronautics and Astronautics,Professor,43,37,28,0.0,1,967,0
1195,"MARZOUK, YOUSSEF M",288611,,,Aeronautics and Astronautics,Associate,72,28,25,0.0,3,1814,1
2680,"MASTERSON, REBECCA A",919190,,,Aeronautics and Astronautics,Other,1,14,3,0.0,0,33,0
