Id,Name,PersonId,Department,RankName,TotalArticleCount,TotalConfProcCount,TotalGrantCount,TotalGrantDollars,TotalAwardCount,TotalCitationCount,TotalBookCount,TotalPatentCount,Gender,Accuracy_Gender,Total_Samples_Gender,Matched
1485,"BALAKRISHNAN, HAMSA",6622,Aeronautics and Astronautics,Professor,46,63,15,0.0,4,1477,1,1,female,57,431,1
2030,"BARRETT, STEVEN R. H",412239,Aeronautics and Astronautics,Associate,87,7,11,0.0,1,2381,1,1,male,99,59951,1
2190,"BELOBABA, PETER P",287096,Aeronautics and Astronautics,Other,24,2,0,0.0,1,303,20,0,male,99,146529,1
2695,"BINZEL, RICHARD P",10148,Aeronautics and Astronautics,Professor,163,13,23,0.0,3,5523,5,0,male,99,97659,1
4030,"CAHOY, KERRI",488061,Aeronautics and Astronautics,Associate,47,72,45,0.0,2,777,1,8,female,98,1836,1
16360,"CARLONE, LUCA",827382,Aeronautics and Astronautics,Assistant,29,52,7,0.0,2,1742,2,0,male,99,87738,0
23990,"CORDERO, ZACHARY C",801111,Aeronautics and Astronautics,Assistant,21,2,3,0.0,1,295,0,0,male,100,7365,1
3740,"CRAWLEY, EDWARD F",22177,Aeronautics and Astronautics,Professor,47,67,30,0.0,7,427,8,1,male,99,24073,1
3945,"DARMOFAL, DAVID L",138846,Aeronautics and Astronautics,Professor,33,52,12,0.0,1,1359,1,1,male,99,380894,1
3910,"DE WECK, OLIVIER L",25387,Aeronautics and Astronautics,Professor,105,155,26,0.0,4,3324,6,1,male,96,55388,0
4410,"DRELA, MARK",29363,Aeronautics and Astronautics,Professor,18,34,4,0.0,5,678,1,0,male,100,48064,1
24160,"FAN, CHUCHU",1108336,Aeronautics and Astronautics,Assistant,6,19,1,0.0,0,132,0,0,male,54,219,1
4370,"GREITZER, EDWARD M",41860,Aeronautics and Astronautics,Professor,15,14,32,0.0,12,634,4,0,male,99,24073,1
16865,"GUERRA GARCIA, CARMEN",827383,Aeronautics and Astronautics,Assistant,14,1,0,0.0,1,98,3,2,female,97,54197,1
4385,"HAIMES, ROBERT",287897,Aeronautics and Astronautics,Other,15,43,33,0.0,0,492,0,0,male,99,145540,1
2020,"HANSMAN, ROBERT J",79405,Aeronautics and Astronautics,Professor,24,71,60,0.0,4,574,0,4,male,99,145540,1
5310,"HARRIS, WESLEY L",45488,Aeronautics and Astronautics,Professor,1,1,6,0.0,3,6,0,0,male,99,13241,1
5390,"HASTINGS, DANIEL E",45995,Aeronautics and Astronautics,Professor,35,34,34,0.0,5,1026,1,0,male,99,257742,1
2660,"HOFFMAN, JEFFREY A",56423,Aeronautics and Astronautics,Other,52,67,32,0.0,2,2984,0,0,male,100,19324,1
2910,"HOW, JONATHAN P",48280,Aeronautics and Astronautics,Professor,160,268,58,0.0,5,7482,17,5,male,99,84386,1
4785,"KARAMAN, SERTAC",544435,Aeronautics and Astronautics,Associate,39,119,20,0.0,6,4143,6,3,male,96,1078,1
5860,"LEVESON, NANCY G",67304,Aeronautics and Astronautics,Professor,49,13,31,0.0,7,2494,16,0,female,98,35222,1
9895,"LIEBECK, ROBERT H",488062,Aeronautics and Astronautics,Other,1,1,0,0.0,7,332,1,4,male,99,145540,1
19275,"LINARES, RICHARD",779767,Aeronautics and Astronautics,Assistant,30,31,9,0.0,3,223,12,1,male,99,97659,1
4375,"LOZANO, PAULO C",70895,Aeronautics and Astronautics,Professor,43,37,28,0.0,1,967,0,17,male,99,57206,1
24205,"LOZANO-DURAN, ADRIAN",1302272,Aeronautics and Astronautics,Assistant,28,22,1,0.0,0,929,0,0,male,98,56140,1
1195,"MARZOUK, YOUSSEF M",288611,Aeronautics and Astronautics,Associate,72,28,25,0.0,3,1814,1,0,male,97,30051,1
2680,"MASTERSON, REBECCA A",919190,Aeronautics and Astronautics,Other,1,14,3,0.0,0,33,0,0,female,99,35211,1
2670,"MILLER, DAVID W",156554,Aeronautics and Astronautics,Professor,141,97,101,0.0,1,2379,0,1,male,99,380894,1
6295,"MINDELL, DAVID A",69857,Aeronautics and Astronautics,Professor,6,6,2,0.0,5,155,10,0,male,99,380894,1
5470,"MODIANO, EYTAN H",156907,Aeronautics and Astronautics,Professor,112,165,38,0.0,3,5178,4,0,male,98,104,1
4815,"NEWMAN, DAVA J",83866,Aeronautics and Astronautics,Professor,40,57,26,0.0,3,547,3,7,male,67,233,1
5125,"NGUYEN, NGOC CUONG",1108037,Aeronautics and Astronautics,Other,64,24,1,0.0,0,4139,0,2,male,62,5710,1
7490,"OMAN, CHARLES M",175835,Aeronautics and Astronautics,Other,27,9,30,0.0,0,304,2,1,male,98,52754,1
4365,"PERAIRE, JAIME",288941,Aeronautics and Astronautics,Professor,84,45,14,0.0,2,3703,3,2,male,90,24921,1
5610,"RADOVITZKY, RAUL A",118832,Aeronautics and Astronautics,Professor,48,6,5,0.0,0,1675,0,0,male,99,38362,1
2320,"ROY, NICHOLAS",99496,Aeronautics and Astronautics,Professor,52,101,21,0.0,6,3223,8,2,male,100,21206,1
4035,"SAENZ-OTERO, ALVAR",544443,Aeronautics and Astronautics,Other,17,28,10,0.0,0,294,2,0,male,97,244,0
7055,"SEAGER, SARA",289272,Aeronautics and Astronautics,Professor,265,52,51,0.0,14,17212,16,1,female,98,153041,1
2880,"SHAH, JULIE A",488063,Aeronautics and Astronautics,Associate,33,52,28,0.0,6,991,1,3,female,98,72376,1
4380,"SPAKOVSZKY, ZOLTAN S",124124,Aeronautics and Astronautics,Professor,43,44,10,0.0,4,852,1,1,male,99,2799,1
23790,"SPETH, RAYMOND L",940145,Aeronautics and Astronautics,Other,26,13,0,0.0,0,583,1,2,male,99,20118,1
4820,"STIRLING, LEIA A",627121,Aeronautics and Astronautics,Assistant,42,17,11,0.0,4,867,0,0,female,100,4238,1
1290,"TAN, CHOON S",175834,Aeronautics and Astronautics,Other,53,37,29,0.0,1,1245,1,0,male,80,119,1
2035,"WAITZ, IAN A",93146,Aeronautics and Astronautics,Professor,39,10,31,0.0,3,1322,3,2,male,99,34076,1
5285,"WANG, QIQI",412240,Aeronautics and Astronautics,Associate,109,52,10,0.0,1,3249,0,1,female,77,359,1
5105,"WARDLE, BRIAN L",112857,Aeronautics and Astronautics,Professor,134,63,21,0.0,0,5578,5,36,male,99,69588,1
2885,"WILLIAMS, BRIAN C",172038,Aeronautics and Astronautics,Professor,34,64,38,0.0,2,1119,0,0,male,99,69588,1
3665,"WIN, MOE Z",98141,Aeronautics and Astronautics,Professor,170,218,20,0.0,14,12495,1,6,male,86,5059,1
17100,"WOOD, DANIELLE RENEE",827389,Aeronautics and Astronautics,Assistant,9,10,4,0.0,2,67,0,0,female,96,41002,1
5865,"YOUNG, LAURENCE RETMAN",117267,Aeronautics and Astronautics,Other,37,9,23,0.0,6,437,1,1,female,90,21237,1
24055,"BELTRAN, HECTOR",1092855,Anthropology Program,Assistant,3,0,0,0.0,3,0,0,0,male,99,17693,0
9530,"BUYANDELGER, MANDUHAI",395004,Anthropology Program,Associate,7,0,0,0.0,3,6,2,0,female,100,3,0
19500,"EDOH, MELISSA A",827681,Anthropology Program,Assistant,1,0,0,0.0,3,0,1,0,female,98,53987,0
9540,"HELMREICH, STEFAN",395005,Anthropology Program,Professor,48,0,3,0.0,9,1380,15,0,male,98,50890,0
9550,"JONES, GRAHAM M",412242,Anthropology Program,Associate,16,0,3,0.0,4,146,2,0,male,99,10110,0
15085,"MORAN-THOMAS, AMY",789730,Anthropology Program,Associate,5,0,0,0.0,9,60,4,0,female,98,42632,0
9535,"PAXSON, HEATHER ANNE",395009,Anthropology Program,Professor,17,0,1,0.0,3,387,15,0,female,98,75142,0
6280,"SILBEY, SUSAN S",395010,Anthropology Program,Professor,24,3,8,0.0,10,802,33,0,female,98,34211,0
15140,"STOETZER, BETTINA",789747,Anthropology Program,Associate,3,0,0,0.0,5,29,0,0,female,98,5079,0
9555,"WALLEY, CHRISTINE",395011,Anthropology Program,Professor,3,0,2,0.0,0,41,8,0,female,98,55857,0
9900,"AKSAMIJA, AZRA",488064,Architecture,Associate,4,0,0,0.0,0,0,9,0,female,95,3275,0
19440,"BARRY, JUDITH",827660,Architecture,Professor,1,0,0,0.0,2,1,0,0,female,98,14121,0
