Id,Name,PersonId,Department,RankName,TotalArticleCount,TotalConfProcCount,TotalGrantCount,TotalGrantDollars,TotalAwardCount,TotalCitationCount,TotalBookCount,TotalPatentCount,Gender,Accuracy_Gender,Total_Samples_Gender,Matched
1485,"BALAKRISHNAN, HAMSA",6622,Aeronautics and Astronautics,Professor,46,63,15,0,4,1477,1,1,female,57,431,1
2030,"BARRETT, STEVEN R. H",412239,Aeronautics and Astronautics,Associate,87,7,11,0,1,2381,1,1,male,99,59951,1
2190,"BELOBABA, PETER P",287096,Aeronautics and Astronautics,Other,24,2,0,0,1,303,20,0,male,99,146529,1
2695,"BINZEL, RICHARD P",10148,Aeronautics and Astronautics,Professor,163,13,23,0,3,5523,5,0,male,99,97659,1
4030,"CAHOY, KERRI",488061,Aeronautics and Astronautics,Associate,47,72,45,0,2,777,1,8,female,98,1836,1
16360,"CARLONE, LUCA",827382,Aeronautics and Astronautics,Assistant,29,52,7,0,2,1742,2,0,male,99,87738,0
23990,"CORDERO, ZACHARY C",801111,Aeronautics and Astronautics,Assistant,21,2,3,0,1,295,0,0,male,100,7365,1
3740,"CRAWLEY, EDWARD F",22177,Aeronautics and Astronautics,Professor,47,67,30,0,7,427,8,1,male,99,24073,1
3945,"DARMOFAL, DAVID L",138846,Aeronautics and Astronautics,Professor,33,52,12,0,1,1359,1,1,male,99,380894,1
3910,"DE WECK, OLIVIER L",25387,Aeronautics and Astronautics,Professor,105,155,26,0,4,3324,6,1,male,96,55388,0
4410,"DRELA, MARK",29363,Aeronautics and Astronautics,Professor,18,34,4,0,5,678,1,0,male,100,48064,1
24160,"FAN, CHUCHU",1108336,Aeronautics and Astronautics,Assistant,6,19,1,0,0,132,0,0,male,54,219,1
4370,"GREITZER, EDWARD M",41860,Aeronautics and Astronautics,Professor,15,14,32,0,12,634,4,0,male,99,24073,1
16865,"GUERRA GARCIA, CARMEN",827383,Aeronautics and Astronautics,Assistant,14,1,0,0,1,98,3,2,female,97,54197,1
4385,"HAIMES, ROBERT",287897,Aeronautics and Astronautics,Other,15,43,33,0,0,492,0,0,male,99,145540,1
2020,"HANSMAN, ROBERT J",79405,Aeronautics and Astronautics,Professor,24,71,60,0,4,574,0,4,male,99,145540,1
5310,"HARRIS, WESLEY L",45488,Aeronautics and Astronautics,Professor,1,1,6,0,3,6,0,0,male,99,13241,1
5390,"HASTINGS, DANIEL E",45995,Aeronautics and Astronautics,Professor,35,34,34,0,5,1026,1,0,male,99,257742,1
2660,"HOFFMAN, JEFFREY A",56423,Aeronautics and Astronautics,Other,52,67,32,0,2,2984,0,0,male,100,19324,1
2910,"HOW, JONATHAN P",48280,Aeronautics and Astronautics,Professor,160,268,58,0,5,7482,17,5,male,99,84386,1
4785,"KARAMAN, SERTAC",544435,Aeronautics and Astronautics,Associate,39,119,20,0,6,4143,6,11,male,96,1078,1
5860,"LEVESON, NANCY G",67304,Aeronautics and Astronautics,Professor,49,13,31,0,7,2494,16,0,female,98,35222,1
9895,"LIEBECK, ROBERT H",488062,Aeronautics and Astronautics,Other,1,1,0,0,7,332,1,4,male,99,145540,1
19275,"LINARES, RICHARD",779767,Aeronautics and Astronautics,Assistant,30,31,9,0,3,223,12,1,male,99,97659,1
4375,"LOZANO, PAULO C",70895,Aeronautics and Astronautics,Professor,43,37,28,0,1,967,0,19,male,99,57206,1
24205,"LOZANO-DURAN, ADRIAN",1302272,Aeronautics and Astronautics,Assistant,28,22,1,0,0,929,0,0,male,98,56140,1
1195,"MARZOUK, YOUSSEF M",288611,Aeronautics and Astronautics,Associate,72,28,25,0,3,1814,1,0,male,97,30051,1
2680,"MASTERSON, REBECCA A",919190,Aeronautics and Astronautics,Other,1,14,3,0,0,33,0,0,female,99,35211,1
2670,"MILLER, DAVID W",156554,Aeronautics and Astronautics,Professor,141,97,101,0,1,2379,0,1,male,99,380894,1
6295,"MINDELL, DAVID A",69857,Aeronautics and Astronautics,Professor,6,6,2,0,5,155,10,0,male,99,380894,1
5470,"MODIANO, EYTAN H",156907,Aeronautics and Astronautics,Professor,112,165,38,0,3,5178,4,0,male,98,104,1
4815,"NEWMAN, DAVA J",83866,Aeronautics and Astronautics,Professor,40,57,26,0,3,547,3,7,male,67,233,1
5125,"NGUYEN, NGOC CUONG",1108037,Aeronautics and Astronautics,Other,64,24,1,0,0,4139,0,2,male,62,5710,1
7490,"OMAN, CHARLES M",175835,Aeronautics and Astronautics,Other,27,9,30,0,0,304,2,1,male,98,52754,1
4365,"PERAIRE, JAIME",288941,Aeronautics and Astronautics,Professor,84,45,14,0,2,3703,3,2,male,90,24921,1
5610,"RADOVITZKY, RAUL A",118832,Aeronautics and Astronautics,Professor,48,6,5,0,0,1675,0,0,male,99,38362,1
2320,"ROY, NICHOLAS",99496,Aeronautics and Astronautics,Professor,52,101,21,0,6,3223,8,2,male,100,21206,1
4035,"SAENZ-OTERO, ALVAR",544443,Aeronautics and Astronautics,Other,17,28,10,0,0,294,2,0,male,97,244,0
7055,"SEAGER, SARA",289272,Aeronautics and Astronautics,Professor,265,52,51,0,14,17212,16,1,female,98,153041,1
2880,"SHAH, JULIE A",488063,Aeronautics and Astronautics,Associate,33,52,28,0,6,991,1,3,female,98,72376,1
4380,"SPAKOVSZKY, ZOLTAN S",124124,Aeronautics and Astronautics,Professor,43,44,10,0,4,852,1,1,male,99,2799,1
23790,"SPETH, RAYMOND L",940145,Aeronautics and Astronautics,Other,26,13,0,0,0,583,1,2,male,99,20118,1
4820,"STIRLING, LEIA A",627121,Aeronautics and Astronautics,Assistant,42,17,11,0,4,867,0,0,female,100,4238,1
1290,"TAN, CHOON S",175834,Aeronautics and Astronautics,Other,53,37,29,0,1,1245,1,0,male,80,119,1
2035,"WAITZ, IAN A",93146,Aeronautics and Astronautics,Professor,39,10,31,0,3,1322,3,2,male,99,34076,1
5285,"WANG, QIQI",412240,Aeronautics and Astronautics,Associate,109,52,10,0,1,3249,0,1,female,77,359,1
5105,"WARDLE, BRIAN L",112857,Aeronautics and Astronautics,Professor,134,63,21,0,0,5578,5,43,male,99,69588,1
2885,"WILLIAMS, BRIAN C",172038,Aeronautics and Astronautics,Professor,34,64,38,0,2,1119,0,0,male,99,69588,1
3665,"WIN, MOE Z",98141,Aeronautics and Astronautics,Professor,170,218,20,0,14,12495,1,6,male,86,5059,1
17100,"WOOD, DANIELLE RENEE",827389,Aeronautics and Astronautics,Assistant,9,10,4,0,2,67,0,0,female,96,41002,1
5865,"YOUNG, LAURENCE RETMAN",117267,Aeronautics and Astronautics,Other,37,9,23,0,6,437,1,1,female,90,21237,1
24055,"BELTRAN, HECTOR",1092855,Anthropology Program,Assistant,3,0,0,0,3,0,0,0,male,99,17693,0
9530,"BUYANDELGER, MANDUHAI",395004,Anthropology Program,Associate,7,0,0,0,3,6,2,0,female,100,3,0
19500,"EDOH, MELISSA A",827681,Anthropology Program,Assistant,1,0,0,0,3,0,1,0,female,98,53987,0
9540,"HELMREICH, STEFAN",395005,Anthropology Program,Professor,48,0,3,0,9,1380,15,0,male,98,50890,0
9550,"JONES, GRAHAM M",412242,Anthropology Program,Associate,16,0,3,0,4,146,2,0,male,99,10110,0
15085,"MORAN-THOMAS, AMY",789730,Anthropology Program,Associate,5,0,0,0,9,60,4,0,female,98,42632,0
9535,"PAXSON, HEATHER ANNE",395009,Anthropology Program,Professor,17,0,1,0,3,387,15,0,female,98,75142,0
6280,"SILBEY, SUSAN S",395010,Anthropology Program,Professor,24,3,8,0,10,802,33,0,female,98,34211,0
15140,"STOETZER, BETTINA",789747,Anthropology Program,Associate,3,0,0,0,5,29,0,0,female,98,5079,0
9555,"WALLEY, CHRISTINE",395011,Anthropology Program,Professor,3,0,2,0,0,41,8,0,female,98,55857,0
9900,"AKSAMIJA, AZRA",488064,Architecture,Associate,4,0,0,0,0,0,9,0,female,95,3275,0
19440,"BARRY, JUDITH",827660,Architecture,Professor,1,0,0,0,2,1,0,0,female,98,14121,0
19360,"CLIFFORD, BRANDON",827625,Architecture,Assistant,2,2,0,0,1,2,5,0,male,100,29118,0
4595,"DUTTA, ARINDAM",32435,Architecture,Associate,7,0,0,0,1,23,14,0,male,100,1597,0
4580,"FERNANDEZ, JOHN",32175,Architecture,Professor,22,5,2,0,0,568,2,0,male,99,218863,0
10025,"GARCIA-ABRIL RUIZ, ANTON",544446,Architecture,Professor,1,0,0,0,0,2,3,0,male,99,24300,0
14765,"GHOSN, RANIA",434049,Architecture,Associate,10,0,0,0,0,3,12,0,female,98,6286,0
5435,"GOULTHORPE, MARK",47078,Architecture,Associate,3,1,1,0,0,11,3,0,male,100,48064,0
9910,"GREEN, ELLEN RENEE",488066,Architecture,Professor,4,0,0,0,1,0,1,0,female,97,21763,0
15055,"HYDE, TIMOTHY W",390654,Architecture,Associate,11,0,0,0,3,3,3,0,male,99,15778,0
18680,"IBANEZ, MARIANA B",390655,Architecture,Associate,3,0,0,0,0,0,9,0,female,98,27420,0
10390,"JACOBI, LAUREN",627122,Architecture,Associate,2,0,0,0,2,0,5,0,female,97,25933,0
5790,"JARZOMBEK, MARK",54642,Architecture,Professor,29,0,0,0,3,27,22,0,male,100,48064,0
8110,"JONES, CAROLINE A",149233,Architecture,Professor,17,0,0,0,5,64,19,0,female,98,47275,0
9345,"KENNEDY, SHEILA",288291,Architecture,Professor,2,0,0,0,1,25,1,0,female,98,15031,0
6075,"KNIGHT, TERRY W",61508,Architecture,Professor,6,3,1,0,0,50,0,0,male,79,22131,0
10395,"MAZEREEUW, MIHO",627123,Architecture,Associate,6,0,4,0,0,6,0,0,female,88,583,0
8560,"MILJACKI, ANA",175841,Architecture,Associate,3,0,0,0,1,0,13,0,female,97,141747,0
14625,"MUELLER, CAITLIN T",779101,Architecture,Associate,42,10,0,0,0,290,3,1,female,99,5889,0
8280,"NAGAKURA, TAKEHIKO",157827,Architecture,Associate,4,4,0,0,0,8,0,0,male,100,68,0
4575,"NORFORD, LESLIE KEITH",86061,Architecture,Professor,126,24,7,0,0,3353,1,0,male,66,35929,0
9600,"O'BRIEN, WILLIAM GEORGE",412243,Architecture,Associate,40,1,0,0,2,476,0,0,male,99,131208,0
4285,"OCHSENDORF, JOHN A",87416,Architecture,Professor,40,12,1,0,5,792,10,0,male,99,218863,1
7005,"RABBAT, NASSER O",95304,Architecture,Professor,19,0,0,0,4,33,24,0,male,98,8903,0
8780,"REINHART, CHRISTOPH",544448,Architecture,Professor,58,3,3,0,1,2326,3,0,male,99,9324,0
4250,"SANTOS, ADELE NAUDE",102171,Architecture,Professor,3,0,0,0,3,99,0,0,female,95,4884,0
15010,"SARKIS, ANTOINE HASHIM",121466,Architecture,Professor,1,0,0,0,0,0,23,0,male,99,35586,0
6065,"SASS, LAWRENCE",164042,Architecture,Associate,15,11,0,0,0,201,1,0,male,98,9892,0
7565,"SCOTT, ANDREW M",122202,Architecture,Professor,12,0,0,0,0,268,2,0,male,99,82448,0
14925,"SEGAL, RAFAEL",779116,Architecture,Associate,7,0,0,0,0,1,12,0,male,99,52197,0
23630,"SIMMONS, MARC",919197,Architecture,Other,3,0,0,0,0,0,0,0,male,99,77461,0
23635,"SINNOKROT, NIDA",919198,Architecture,Assistant,0,0,0,0,0,0,0,0,female,93,2625,0
8640,"SMENTEK, KRISTEL R",176090,Architecture,Associate,9,0,0,0,2,0,7,0,female,98,1885,0
7615,"SPIRN, ANNE WHISTON",124250,Architecture,Professor,3,0,0,0,7,33,12,0,female,98,48860,0
6070,"STINY, GEORGE N",87327,Architecture,Professor,8,3,2,0,0,63,3,0,male,99,63411,0
18440,"TIBBITS, SKYLAR",827624,Architecture,Associate,30,2,3,0,4,571,22,9,male,89,6096,0
9440,"URBONAS, GEDIMINAS",289582,Architecture,Associate,1,0,1,0,1,0,4,0,male,100,416,0
4570,"WESCOAT, JAMES",176091,Architecture,Professor,32,1,1,0,2,347,19,0,male,99,131879,0
5670,"YOON, JEANNIE M",998930,Architecture,Professor,4,0,1,0,7,1,12,0,female,98,1682,0
3770,"ALM, ERIC J",176231,Biological Engineering,Professor,166,1,10,0,1,17395,0,0,male,99,121922,1
2390,"BATHE, MARK",287081,Biological Engineering,Associate,102,4,26,0,1,3081,0,9,male,100,48064,1
2290,"BELCHER, ANGELA M",7658,Biological Engineering,Professor,120,3,17,0,11,9377,1,29,female,98,69937,1
17500,"BIRNBAUM, MICHAEL E",827631,Biological Engineering,Assistant,30,0,5,0,4,1600,0,2,male,99,211492,1
2795,"BLAINEY, PAUL C",544450,Biological Engineering,Associate,68,0,0,0,6,3034,2,32,male,99,140849,1
2005,"BOYER, LAURIE ANN",175857,Biological Engineering,Associate,43,0,5,0,2,15667,0,0,female,96,34211,0
16365,"BRYSON, BRYAN DAVID",856140,Biological Engineering,Assistant,25,0,5,0,0,866,0,0,male,99,408797,0
1945,"BURGE, CHRISTOPHER B",135419,Biological Engineering,Professor,106,0,17,0,5,29847,2,2,male,99,55041,1
3530,"CHAKRABORTY, ARUP K",17819,Biological Engineering,Professor,182,2,19,0,13,9944,5,1,male,100,876,1
14685,"COLLINS, JAMES J",632090,Biological Engineering,Professor,274,3,21,0,22,35957,0,27,male,99,131879,1
4105,"DEDON, PETER C",25472,Biological Engineering,Professor,159,0,34,0,1,5854,2,1,male,99,146529,1
2430,"ENGELWARD, BEVIN P",141156,Biological Engineering,Professor,76,4,19,0,0,1957,1,7,male,55,152,1
7960,"ERDMAN, SUSAN E",287657,Biological Engineering,Other,63,0,14,0,0,2831,2,1,female,98,34211,1
4070,"ESSIGMANN, JOHN M",34955,Biological Engineering,Professor,73,1,40,0,1,2729,0,3,male,99,218863,0
4060,"FOX, JAMES G",142572,Biological Engineering,Professor,428,0,65,0,3,14515,44,3,male,99,131879,1
2275,"FRAENKEL, ERNEST",176239,Biological Engineering,Professor,91,8,12,0,2,7528,5,4,male,99,8319,1
1845,"GRIFFITH, LINDA G",144921,Biological Engineering,Professor,170,11,28,0,9,9085,3,33,female,97,68888,1
1855,"GRODZINSKY, ALAN J",144993,Biological Engineering,Professor,203,3,25,0,3,7350,17,5,male,99,44635,1
3360,"HAN, JONGYOON",50517,Biological Engineering,Professor,269,10,16,0,1,13795,4,31,male,100,16,1
24010,"HANSEN, ANDERS SEJR",1107892,Biological Engineering,Assistant,30,0,5,0,1,1341,0,0,male,99,9664,0
3525,"IRVINE, DARRELL J",60069,Biological Engineering,Professor,221,7,41,0,12,13568,2,48,male,99,2940,1
1865,"JASANOFF, ALAN PRADIP",61378,Biological Engineering,Professor,59,0,20,0,2,2327,3,4,male,99,47028,0
5805,"KEATING, AMY E",150013,Biological Engineering,Professor,72,0,12,0,1,2929,3,4,female,98,42632,1
14595,"KOEHLER, ANGELA NICOLE",779088,Biological Engineering,Associate,50,0,4,0,3,2393,3,15,female,98,135236,1
1830,"LANGER, ROBERT S",83112,Biological Engineering,Professor,975,26,92,0,72,107826,62,321,male,99,145540,1
2245,"LAUFFENBURGER, DOUGLAS A",58851,Biological Engineering,Professor,349,19,75,0,10,16322,8,8,male,99,18529,1
1970,"LODISH, HARVEY F",62796,Biological Engineering,Professor,186,1,0,0,9,15342,15,6,male,99,4450,1
5590,"LU, TIMOTHY K",412262,Biological Engineering,Associate,131,9,31,0,10,7114,3,42,male,99,15778,1
2220,"MANALIS, SCOTT R",176243,Biological Engineering,Professor,81,12,24,0,3,4893,1,19,male,100,48262,1
4930,"NILES, JACQUIN",85013,Biological Engineering,Professor,39,1,6,0,3,1333,0,1,female,57,46,1
3835,"RIBBECK, KATHARINA",412244,Biological Engineering,Associate,57,1,7,0,1,1977,0,3,female,98,5457,0
3350,"SAMSON, LEONA D",82231,Biological Engineering,Other,110,0,24,0,7,5086,3,1,female,97,3219,1
5945,"SASISEKHARAN, RAM",176254,Biological Engineering,Professor,114,0,29,0,5,7584,12,69,male,97,12263,1
1835,"SO, PETER T. C",14958,Biological Engineering,Professor,194,82,12,0,2,5105,26,11,male,99,146529,1
4425,"THILLY, WILLIAM G",126070,Biological Engineering,Professor,34,0,18,0,0,641,0,10,male,99,67797,1
1905,"TIDOR, BRUCE",169050,Biological Engineering,Professor,79,4,28,0,2,7878,2,3,male,99,14681,1
1605,"VAN VLIET, KRYSTYN J",127288,Biological Engineering,Professor,176,6,10,0,6,7180,4,8,male,73,9957,1
2270,"VOIGT, CHRISTOPHER A",488068,Biological Engineering,Professor,232,1,36,0,7,10023,4,13,male,99,55041,0
2265,"WEISS, RON",370154,Biological Engineering,Professor,130,23,39,0,4,12102,0,24,male,99,19779,1
5055,"WHITE, FOREST M",129009,Biological Engineering,Professor,117,2,22,0,0,6163,6,2,male,100,92,1
1895,"WITTRUP, KARL DANE",115935,Biological Engineering,Professor,154,2,29,0,4,6672,2,19,male,97,21130,1
5060,"YAFFE, MICHAEL B",99938,Biological Engineering,Professor,249,5,25,0,1,15202,13,7,male,99,211492,1
3185,"AMON, ANGELIKA B",131275,Biology,Professor,127,3,12,0,15,11246,2,0,female,98,9509,1
1940,"BAKER, TANIA",6476,Biology,Professor,125,1,8,0,6,5864,4,0,female,98,26196,1
2015,"BARTEL, DAVID",6522,Biology,Professor,130,1,0,0,10,94190,0,11,male,99,380894,1
1935,"BELL, STEPHEN P",176229,Biology,Professor,75,0,14,0,6,4339,4,0,male,99,46085,1
15260,"CALO VELAZQUEZ, ELIEZER",827665,Biology,Assistant,14,0,0,0,1,1715,0,0,male,98,2953,1
8370,"CHEESEMAN, IAIN M",175855,Biology,Professor,83,0,0,0,6,6893,3,0,male,99,2910,1
5065,"CHEN, JIANZHU",176227,Biology,Professor,227,2,21,0,2,7863,2,0,male,0,0,1
3830,"CHISHOLM, SALLIE W",20948,Biology,Professor,97,0,20,0,14,10560,5,0,female,96,341,1
15510,"DAVIS, JOSEPH HARRY",827666,Biology,Assistant,19,0,2,0,3,1047,0,0,male,99,87634,1
4920,"DRENNAN, CATHERINE L",175862,Biology,Professor,157,3,8,0,12,4591,4,0,female,98,41180,1
1995,"FINK, GERALD R",142051,Biology,Other,82,1,0,0,11,8853,9,4,male,99,11899,1
9605,"GEHRING, MARY",412245,Biology,Associate,36,0,0,0,3,3015,1,0,female,98,76726,1
2780,"GERTLER, FRANK",38616,Biology,Professor,134,4,8,0,3,7622,3,11,male,99,66241,1
7780,"GROSSMAN, ALAN DAVIS",176390,Biology,Professor,68,0,18,0,5,3882,2,0,male,99,50898,1
5445,"GUARENTE, LEONARD PERSHING",48651,Biology,Professor,148,2,16,0,4,25897,8,6,male,98,7085,1
3085,"GUPTA, PIYUSH",412246,Biology,Associate,72,1,0,0,2,10820,29,0,male,100,6513,1
2010,"HEMANN, MICHAEL",46757,Biology,Associate,130,3,5,0,2,8081,2,2,male,99,211492,1
1960,"HORVITZ, HOWARD ROBERT",48052,Biology,Professor,92,0,9,0,16,13548,2,12,male,99,150536,1
5305,"HOUSMAN, DAVID E",48264,Biology,Professor,85,0,23,0,5,5162,5,12,male,99,380894,1
2410,"HYNES, RICHARD O",52479,Biology,Professor,144,2,28,0,14,12363,3,4,male,99,97659,1
5940,"IMPERIALI, BARBARA",176237,Biology,Professor,135,0,37,0,8,4830,4,11,female,98,58381,1
2425,"JACKS, TYLER E",50211,Biology,Professor,242,11,53,0,13,33912,6,9,male,97,19321,1
1965,"JAENISCH, RUDOLF",288069,Biology,Professor,307,2,0,0,18,69354,16,14,male,99,5465,1
18900,"JAIN, ANKUR",856128,Biology,Assistant,28,1,0,0,2,1339,0,0,male,99,6932,1
5890,"KAISER, CHRIS",56932,Biology,Professor,25,0,8,0,2,3588,8,0,male,93,163699,1
2500,"KIM, DENNIS H",54419,Biology,Professor,260,0,5,0,3,7989,6,0,male,99,44146,1
3295,"KING, JONATHAN ALAN",176485,Biology,Other,155,3,18,0,1,3840,0,0,male,99,129021,1
5465,"KRIEGER, MONTY",56559,Biology,Professor,57,1,10,0,1,3024,7,6,male,93,1733,1
19445,"LAMASON, REBECCA",827662,Biology,Assistant,11,0,1,0,1,920,1,0,female,99,35211,1
2420,"LANDER, ERIC S",152018,Biology,Professor,388,4,14,0,30,210707,7,28,male,99,121922,1
1925,"LAUB, MICHAEL T",83316,Biology,Professor,87,0,7,0,6,5240,6,0,male,99,211492,1
5415,"LEES, JACQUELINE",59618,Biology,Professor,67,1,6,0,2,2902,2,0,female,98,23327,1
23855,"LEHMANN, RUTH E",66756,Biology,Professor,91,0,0,0,10,3755,8,0,female,98,20411,1
15090,"LI, GENE-WEI",789731,Biology,Assistant,37,1,3,0,8,6052,1,0,male,73,4003,1
22650,"LI, PULIN",1108327,Biology,Assistant,36,1,0,0,1,1340,0,0,male,100,71,1
6465,"LITTLETON, J TROY",288487,Biology,Professor,77,0,19,0,4,3651,1,0,male,99,7393,0
19345,"LOURIDO, SEBASTIAN",826660,Biology,Assistant,35,0,0,0,2,1857,2,0,male,99,47850,1
9920,"MARTIN, ADAM C",488069,Biology,Associate,52,0,4,0,2,2954,0,0,male,99,101742,1
3335,"NEDIVI, ELLY",158035,Biology,Professor,37,4,13,0,3,1833,1,1,female,84,3622,1
1990,"ORR-WEAVER, TERRY",74328,Biology,Professor,64,0,0,0,6,3126,2,0,male,79,22131,1
5455,"PAGE, DAVID C",74957,Biology,Professor,111,1,0,0,13,6708,1,3,male,99,380894,1
4065,"RAJBHANDARY, UTTAM L",176256,Biology,Professor,35,0,11,0,2,1165,1,1,male,99,1667,0
5450,"REDDIEN, PETER",161933,Biology,Professor,57,0,0,0,8,5111,1,0,male,99,146529,1
5575,"REGEV, AVIV",176255,Biology,Professor,379,26,5,0,16,73341,9,59,male,92,390,1
