,Id,Name,PersonId,Department,RankName,TotalArticleCount,TotalConfProcCount,TotalGrantCount,TotalGrantDollars,TotalAwardCount,TotalCitationCount,TotalBookCount,TotalPatentCount,Gender,Accuracy_Gender,Total_Samples_Gender,Matched,LastName,FirstName,Collaborations,Department_MITCollab
0,1485,"BALAKRISHNAN, HAMSA",6622,Aeronautics and Astronautics,Professor,46,63,15,0,4,1477,1,1,female,57,431,1,,,2020|2030|2020|2035|,Aeronautics and Astronautics
1,1485,"BALAKRISHNAN, HAMSA",6622,Aeronautics and Astronautics,Professor,46,63,15,0,4,1477,1,1,female,57,431,1,,,1560|2030|,Electrical Engineering and Computer Sciences
2,1485,"BALAKRISHNAN, HAMSA",6622,Aeronautics and Astronautics,Professor,46,63,15,0,4,1477,1,1,female,57,431,1,,,1560|2030|,Health Sciences and Technology
3,1485,"BALAKRISHNAN, HAMSA",6622,Aeronautics and Astronautics,Professor,46,63,15,0,4,1477,1,1,female,57,431,1,,,1560|2030|,Management
4,1485,"BALAKRISHNAN, HAMSA",6622,Aeronautics and Astronautics,Professor,46,63,15,0,4,1477,1,1,female,57,431,1,,,1560|2030|,Mechanical Engineering
5,1485,"BALAKRISHNAN, HAMSA",6622,Aeronautics and Astronautics,Professor,46,63,15,0,4,1477,1,1,female,57,431,1,,,1560|2030|,Physics
6,2030,"BARRETT, STEVEN R. H",412239,Aeronautics and Astronautics,Associate,87,7,11,0,1,2381,1,1,male,99,59951,1,,,23790|2035|5285|1290|1485|2035|5285|23790|,Aeronautics and Astronautics
7,2030,"BARRETT, STEVEN R. H",412239,Aeronautics and Astronautics,Associate,87,7,11,0,1,2381,1,1,male,99,59951,1,,,1485|,Electrical Engineering and Computer Sciences
8,2030,"BARRETT, STEVEN R. H",412239,Aeronautics and Astronautics,Associate,87,7,11,0,1,2381,1,1,male,99,59951,1,,,1485|,Health Sciences and Technology
9,2030,"BARRETT, STEVEN R. H",412239,Aeronautics and Astronautics,Associate,87,7,11,0,1,2381,1,1,male,99,59951,1,,,1485|,Management
10,2030,"BARRETT, STEVEN R. H",412239,Aeronautics and Astronautics,Associate,87,7,11,0,1,2381,1,1,male,99,59951,1,,,1485|,Mechanical Engineering
