USPTO,Author_Id,Filing_Date
9741253,1485,2015-10-09
16/774965,2030,
10917173,4030,2019-09-24
10899479,4030,2018-06-11
10826609,4030,2019-06-20
10530478,4030,2017-11-06
10220965,4030,2017-10-05
9991958,4030,2017-06-16
9813151,4030,2015-08-04
9809328,4030,2015-03-11
4849668,3740,
7021892,3945,
8260652,3910,2008-01-04
10934018,16865,2019-08-01
10450086,16865,2017-04-14
7428449,2020,2006-03-14
638933,2020,
5313202,2020,
15/955127,2020,
10203701,2910,2016-11-04
9129519,2910,2013-07-30
8862288,2910,2012-10-30
7813888,2910,2006-07-24
16/595175,2910,
62/752279,4785,
16/283158,4785,
16/671525,4785,
16/406809,4785,
16/835408,4785,
16/179223,4785,
16/741039,4785,
16/440546,4785,
16/539772,4785,
16/730613,4785,
17/085641,4785,
7093798,9895,
42041,9895,
968772,9895,
984915,9895,
62/631231,19275,
10685808,4375,2009-05-06
10410821,4375,2019-01-25
10308377,4375,2015-04-08
10236154,4375,2017-11-06
10125052,4375,2015-03-18
9905392,4375,2016-09-22
9837237,4375,2017-05-30
9704685,4375,2016-06-10
9478403,4375,2014-07-21
9362097,4375,2009-05-06
8791411,4375,2013-03-15
8785881,4375,2013-11-01
8324593,4375,2011-05-03
8030621,4375,2008-10-15
7863581,4375,2008-06-09
16/587821,4375,
16/230892,4375,
16/427179,4375,
15/905738,4375,
8772690,2670,
10828221,4815,2015-11-05
10555697,4815,2017-03-24
10028697,4815,2015-08-27
9737097,4815,2014-07-07
9149224,4815,2011-10-17
8769712,4815,2011-03-25
13/350031,4815,
10934018,5125,2019-08-01
10450086,5125,2017-04-14
4723554,7490,
10934018,4365,2019-08-01
10450086,4365,2017-04-14
9262929,2320,
8200600,2320,2008-03-20
8772690,7055,
10802876,2880,2013-05-22
9766931,2880,2013-04-30
15/481121,2880,
8337141,4380,2009-02-12
8708696,23790,2010-11-08
6877574,23790,2002-08-19
6004095,2035,
5932940,2035,
16/695504,5285,
11031657,5105,2018-11-28
10988382,5105,2018-09-25
10906285,5105,2019-07-03
10399316,5105,2012-11-16
10350837,5105,2017-05-31
10265683,5105,2016-06-14
10087079,5105,2014-09-12
2385016,5105,
2385016,5105,
10035706,5105,2016-12-09
9839073,5105,2016-08-29
9771264,5105,2009-11-13
9663368,5105,2011-10-28
2441729,5105,
9540243,5105,2014-03-17
9506846,5105,2013-08-08
9422517,5105,2013-10-01
9394175,5105,2015-09-18
9181639,5105,2009-08-03
9091657,5105,2011-01-26
8865109,5105,2012-08-07
5473915,5105,
2193097,5105,
8337979,5105,2007-08-24
8257678,5105,2010-07-30
7537825,5105,2006-03-22
7867126,5105,
14/678066,5105,
63/088340,5105,
63/084365,5105,
15/931987,5105,
11737604,5105,
201780021130,5105,
16/622117,5105,
17734178,5105,
18883062,5105,
18855286,5105,
15/830799,5105,
15/931987,5105,
15/694554,5105,
16/056745,5105,
16/292968,5105,
15/362780,5105,
201780034552,5105,
16/900159,5105,
11019592,3665,2018-09-28
10705182,3665,2017-06-20
10228448,3665,2016-03-07
9062978,3665,2011-05-31
9002286,3665,2009-03-30
8315955,3665,2007-10-25
3699511,5865,
16/511662,14625,
10953605,18440,2018-04-04
10633772,18440,2018-01-12
10549505,18440,2018-01-12
10513089,18440,2015-10-08
17/148668,18440,
17/016149,18440,
17/073158,18440,
15/160393,18440,
16/905744,18440,
10940171,2390,2018-11-13
10289799,2390,2015-10-03
8554489,2390,
62/727959,2390,
62/796472,2390,
16/097594,2390,
16/097596,2390,
16/012583,2390,
16/752394,2390,
10987388,2290,2018-07-20
10766798,2290,2018-02-02
10751423,2290,2017-05-02
10598914,2290,2016-07-13
10456774,2290,2017-06-22
10442982,2290,2016-05-20
10276309,2290,2013-10-08
10199588,2290,2016-08-18
10041951,2290,2013-01-31
9590278,2290,2015-08-06
9559360,2290,2012-03-27
9550809,2290,2013-09-23
9527741,2290,2014-05-05
9274108,2290,2010-03-11
9082554,2290,2013-06-10
9029286,2290,2013-04-29
8986999,2290,2014-02-07
8859456,2290,2011-12-30
8685323,2290,2011-02-07
8283325,2290,2005-10-19
8088982,2290,2009-02-09
17/003819,2290,
16/874480,2290,
16/781338,2290,
16/382161,2290,
15/558162,2290,
16/355810,2290,
16/708339,2290,
16/278041,2290,
16/788255,17500,
16/826665,17500,
10981167,2795,2017-09-18
10982289,2795,2014-03-17
10962527,2795,2017-02-03
10816547,2795,2016-04-14
10487354,2795,2015-09-11
10/065/989,2795,
10053731,2795,2014-10-01
9790549,2795,2016-03-31
62/579858,2795,
17/048227,2795,
15/558497,2795,
16/754668,2795,
16/673018,2795,
15/558504,2795,
16/335512,2795,
15/553961,2795,
16/269138,2795,
15/842315,2795,
16/449100,2795,
15/754984,2795,
16/612396,2795,
16/758640,2795,
62/660028,2795,
15/721896,2795,
15/135377,2795,
16769710,2795,
16765859,2795,
15/754984,2795,
16840115,2795,
14850347,2795,
62/702209,2795,
62/627183,2795,
62/671301,2795,
9926601,1945,2012-02-24
16/530149,1945,
16/887710,3530,
11021740,14685,2018-03-15
10968454,14685,2018-03-16
10842874,14685,2018-10-23
10802021,14685,2017-12-08
10676721,14685,2011-09-02
10614353,14685,2017-04-27
10266886,14685,2018-03-09
10266887,14685,2018-03-09
9957511,14685,2014-07-01
9697460,14685,2012-09-25
9624554,14685,2013-12-19
9284562,14685,2012-10-02
9056899,14685,2010-08-31
8795958,14685,2009-02-17
8645115,14685,2011-09-19
8329889,14685,2010-12-29
8182804,14685,2007-12-21
8153119,14685,2008-12-18
16/285128,14685,
15/952132,14685,
16/875257,14685,
15/780668,14685,
16/081975,14685,
15/922576,14685,
16/778524,14685,
16/494279,14685,
15/922879,14685,
16/248729,4105,
9589173,2430,2014-05-05
9194841,2430,2012-07-12
8718351,2430,2012-12-26
8351675,2430,2010-04-09
7724937,2430,2008-05-12
7372985,2430,2003-08-15
16/312249,2430,
7939056,7960,2006-11-13
9982009,4070,2014-10-15
9714265,4070,2016-01-28
9283242,4070,2014-01-22
7939056,4060,2006-11-13
5610060,4060,
16/046816,4060,
10446259,2275,2016-08-10
8612160,2275,2009-11-16
7611838,2275,2007-08-06
16/481061,2275,
10913925,1845,2016-11-23
10876088,1845,2017-02-06
10329327,1845,2013-06-05
10323221,1845,2017-01-05
10028958,1845,2015-04-17
9528082,1845,2013-07-25
9198952,1845,2011-11-07
9029328,1845,2013-04-02
8318479,1845,2005-05-19
8110213,1845,2008-07-15
7807150,1845,
7462471,1845,2004-02-10
6730298,1845,1998-01-20
6689608,1845,2000-09-26
6530958,1845,
6454811,1845,1999-10-12
6399700,1845,2001-03-26
6207749,1845,2000-08-08
6197575,1845,
6176874,1845,1995-06-07
6150459,1845,1999-04-13
5869170,1845,1995-06-05
5804178,1845,
5709854,1845,1993-04-30
5518680,1845,1994-02-23
5514378,1845,1993-02-01
5490962,1845,1993-10-18
16/115289,1845,
15/926900,1845,
17/100542,1845,
16/400840,1845,
16/402612,1845,
16/942580,1845,
10226427,1855,2016-03-16
9289506,1855,2014-01-06
7449180,1855,2001-02-06
4161013,1855,
16/883419,1855,
10888863,3360,2015-09-18
10806845,3360,2017-03-15
10697871,3360,2017-10-06
10697964,3360,2017-10-06
10640744,3360,2017-10-10
10429467,3360,2012-02-27
10393684,3360,2016-04-23
10252924,3360,2015-10-23
10228313,3360,2017-04-19
10099945,3360,2017-11-17
10098581,3360,2015-01-16
10077462,3360,2015-09-11
9850146,3360,2015-09-17
9845252,3360,2014-06-17
9789485,3360,2013-09-20
9725340,3360,2014-05-20
9458489,3360,2012-12-10
9360403,3360,2013-04-12
8905759,3360,2012-06-08
8834696,3360,2009-07-22
8783466,3360,2011-01-13
8771933,3360,2010-10-06
